time,i_value,j_value,latitude,longitude,u_west_to_east_wind,v_south_to_north_wind,temprature,relative_humidity,vertical_velocity,pressure,water_vapour,turbulent_kinatic_energy,precipitation_rate,sensible_heat_flux,latent_heat_flux,tracer_concentration
12.3,31,51,33.264,-81.661,-6.18358,2.18491,17.15823,86.38771,-0.38892,1008.8877,10.63674,0.86951,35.71201,6.45607,0.0,0
14.7,27,41,33.254,-81.665,-7.24697,1.35906,19.13518,74.40553,19.19467,1010.43225,10.38327,0.83858,274.22665,-4.6413,6.26e-12,1
17.1,8,53,33.266,-81.684,-3.01376,0.51499,22.21815,58.66875,48.32175,1011.00104,9.93982,1.74234,309.59976,20.16008,2.3e-12,1
13.5,65,51,33.264,-81.627,-5.44431,1.87623,17.96699,80.34125,-5.95719,1009.89764,10.41028,2.23724,274.40283,3.44539,0.0,0
14.5,53,31,33.244,-81.639,-4.16835,1.26309,19.09024,74.92788,-8.56665,1009.74005,10.43371,1.55816,168.42735,-2.47177,0.0,0
16.3,24,38,33.251,-81.668,-5.94156,1.36767,20.99254,63.25971,35.07561,1008.71631,9.94732,1.0238,309.4968,-7.28361,1.61e-12,1
17.2,9,53,33.266,-81.683,-3.61402,0.10376,21.88905,58.76745,-53.64852,1011.21484,9.75139,1.4307,372.67316,7.21735,1.34e-12,1
12.2,4,46,33.259,-81.688,-5.25663,1.87902,17.45817,85.13795,9.23266,1010.84912,10.66563,1.62387,76.60418,1.0545,0.0,0
17.6,29,42,33.255,-81.663,-6.25841,-1.0161,22.40348,54.67633,56.04136,1009.32349,9.38697,1.0508,448.384,10.76615,1.71e-10,1
17.7,13,51,33.264,-81.679,-3.75138,-2.2847,22.98451,54.10213,49.97224,1011.19275,9.61291,1.94104,423.40369,-52.69621,1.12e-11,1
15.6,19,56,33.269,-81.673,-4.73366,1.45458,20.17522,70.37402,15.95748,1012.52509,10.46902,1.15201,282.36609,-8.71063,0.0,0
14.2,28,43,33.256,-81.664,-4.86737,1.13541,19.12672,74.14296,103.33099,1011.29285,10.33214,1.37835,203.5571,2.67227,1.27e-10,1
17.3,33,39,33.252,-81.659,-4.82054,2.82485,21.93881,53.44515,-140.58336,1008.28937,8.92239,1.03883,416.50354,19.36503,1.34e-12,1
13.5,30,40,33.253,-81.662,-5.29415,2.02781,18.12658,79.68339,-4.59049,1009.56348,10.43482,1.11048,140.39558,1.3708,9.92e-10,1
17.8,9,42,33.255,-81.683,-5.03111,3.68324,22.82788,44.42829,87.05548,1009.41492,7.83167,0.91565,626.25055,373.04654,0.0,0
15.6,39,41,33.254,-81.653,-4.09072,0.38924,20.2213,69.95657,86.2204,1009.59174,10.46831,1.16216,132.97064,0.81908,0.0,0
14.7,15,42,33.255,-81.677,-6.45986,2.10814,19.53757,72.05168,59.96516,1010.35242,10.31644,1.05803,235.26035,-3.6597,2.88e-10,1
15.0,13,24,33.237,-81.679,-5.72835,1.68294,20.14511,64.6927,129.41006,1012.23804,9.60829,1.12966,133.76712,34.13266,0.0,0
17.6,23,46,33.259,-81.669,-6.4195,-0.92818,22.23606,54.5281,-5.27211,1010.42816,9.25325,0.88938,441.12146,35.63355,1.8e-11,1
17.8,47,31,33.244,-81.645,-3.14134,1.45699,22.99644,50.91353,135.11562,1007.67084,9.0856,1.79828,196.96802,17.731,0.0,0
15.0,42,8,33.221,-81.65,-5.17266,2.30786,19.78917,69.60488,-38.99274,1010.40417,10.12611,1.73714,395.2016,6.69763,0.0,0
15.8,17,4,33.217,-81.675,-5.48559,1.60306,20.62644,65.07813,10.70405,1011.6037,9.97058,1.25827,245.1478,68.90584,0.0,0
16.2,7,44,33.257,-81.685,-6.03501,3.37487,20.86681,61.64835,-29.56296,1011.11841,9.59346,1.17757,346.4845,17.58669,3.12e-11,1
17.9,33,4,33.217,-81.659,-6.60053,2.73151,22.6305,49.27534,-28.17107,1009.03491,8.58309,1.74122,459.37988,19.09466,0.0,0
14.6,79,16,33.229,-81.613,-5.845,1.47158,19.04114,74.90651,-32.7476,1010.94482,10.38552,1.39967,354.72278,2.84043,0.0,0
15.1,17,41,33.254,-81.675,-5.00965,1.92667,19.7849,70.40818,-3.99268,1010.02441,10.24421,0.98699,200.70525,-12.68613,1.47e-10,1
16.7,18,40,33.253,-81.674,-6.12189,1.44215,21.29939,56.77054,-48.4859,1008.83228,9.09997,0.74909,252.48108,35.68796,3.02e-12,1
12.3,34,40,33.253,-81.658,-5.86088,2.30665,17.14336,86.42117,2.50345,1008.29401,10.6371,0.75404,29.65326,3.33533,3.06e-09,1
12.1,57,21,33.234,-81.635,-5.61283,1.81911,17.25928,86.23821,4.5738,1009.28888,10.68347,1.76911,70.46893,-1.38478,0.0,0
17.3,11,46,33.259,-81.681,-5.29192,0.81465,22.42138,53.36535,63.38991,1010.1662,9.1651,1.5581,346.63641,-114.81113,1.94e-11,1
17.9,14,52,33.265,-81.678,-6.39817,-0.22233,22.75322,52.67811,-1.81163,1011.17023,9.22598,1.68941,694.96576,41.41135,0.0,0
14.0,40,60,33.273,-81.652,-3.40359,1.33424,19.00875,74.91434,30.46857,1012.86487,10.34503,1.54249,186.89268,1.35142,0.0,0
15.3,30,39,33.252,-81.662,-5.54638,2.16058,19.82634,70.82786,62.55762,1009.43793,10.3379,1.06967,255.75668,3.78795,5.03e-12,1
17.0,22,42,33.255,-81.67,-4.57313,-0.46937,22.06126,59.061,107.35381,1009.17969,9.92692,1.39281,334.48019,-41.78458,2.3e-12,1
14.2,44,55,33.268,-81.648,-4.93222,1.25998,18.9119,75.12882,-5.05301,1011.48071,10.3252,1.9546,228.53914,2.13135,0.0,0
16.5,12,10,33.223,-81.68,-5.90941,3.05433,21.36047,60.18839,-9.88705,1009.94702,9.67382,1.71274,351.03909,76.85255,0.0,0
13.9,65,60,33.273,-81.627,-4.18785,1.51734,18.65287,76.36044,7.26285,1011.03534,10.32686,1.79585,238.50717,-0.83375,0.0,0
14.8,13,43,33.256,-81.679,-6.59884,2.58513,19.50194,70.44095,76.87964,1010.71149,10.05948,1.12354,175.05908,22.70054,1.1e-10,1
12.4,73,67,33.28,-81.619,-5.99291,1.76308,16.95935,87.11806,15.63503,1008.27435,10.59635,2.20809,106.09258,5.00225,0.0,0
15.7,38,59,33.272,-81.654,-5.54561,0.78562,20.01659,71.31365,-14.78349,1012.42621,10.50394,1.41576,169.69156,-4.34176,0.0,0
15.3,26,36,33.249,-81.666,-6.72579,1.7513,19.46417,71.65302,-83.70822,1009.21063,10.22351,0.5232,294.91403,-4.24085,2.68e-12,1
13.3,67,12,33.225,-81.625,-4.78486,1.33035,17.97866,80.65664,-3.38973,1009.14917,10.46684,1.58669,231.22086,-1.85778,0.0,0
15.8,12,44,33.257,-81.68,-5.43593,2.03472,20.38451,66.39514,-10.29451,1010.62903,10.02774,0.87741,268.23816,-5.84398,3.83e-11,1
15.0,59,65,33.278,-81.633,-5.45506,0.93801,18.96902,76.40854,-26.37917,1009.36578,10.56201,1.61061,157.59883,-1.99226,0.0,0
13.1,10,44,33.257,-81.682,-5.25605,1.74818,17.80205,82.20803,-5.79964,1010.42535,10.53418,0.86909,210.45129,4.72776,9.25e-12,1
14.1,50,51,33.264,-81.642,-5.3133,1.35947,18.69288,76.25606,-5.96639,1010.02551,10.34966,2.43025,342.45117,5.89101,0.0,0
15.3,8,48,33.261,-81.684,-5.93496,0.75345,20.04922,69.5394,28.27916,1012.58643,10.26185,0.91916,232.99289,1.47172,3.53e-11,1
12.5,24,16,33.229,-81.668,-5.637,2.69744,17.49333,84.06358,-19.58045,1009.2226,10.57307,1.16937,45.38229,35.79193,0.0,0
15.5,23,38,33.251,-81.669,-4.77306,1.68858,20.04944,68.34717,14.05032,1009.26178,10.12051,1.01631,278.49994,-4.14796,4.81e-10,1
16.8,35,36,33.249,-81.657,-5.09773,2.11795,21.22316,59.67164,-123.93205,1008.23627,9.52644,0.98569,322.92868,6.95357,1.78e-09,1
12.6,67,37,33.25,-81.625,-5.46938,1.70602,17.04477,86.82824,-4.95142,1008.04578,10.62197,1.66719,138.86588,0.39102,0.0,0
16.7,17,37,33.25,-81.675,-6.34488,0.37178,21.15767,58.64178,-6.06976,1008.7417,9.31746,0.64226,241.17172,38.7469,2.11e-10,1
14.3,15,48,33.261,-81.677,-7.61213,1.51604,18.70356,76.49376,-50.59332,1011.71344,10.37139,0.71855,253.97005,-16.53798,4.36e-12,1
13.2,64,30,33.243,-81.628,-5.49005,1.9,17.64694,82.50366,-10.99044,1009.1145,10.48111,1.88897,191.65976,-1.0889,0.0,0
15.7,19,44,33.257,-81.673,-5.24314,1.83887,20.2851,68.49342,-5.72498,1010.33649,10.28329,1.3594,245.28195,6.44042,4.6e-12,1
17.7,14,46,33.259,-81.678,-5.21666,0.12818,22.66078,53.68251,37.6367,1009.53131,9.36321,1.11709,345.92059,-13.84414,2.44e-11,1
17.9,7,57,33.27,-81.685,-4.75083,1.00602,22.92271,53.1727,32.43821,1009.38129,9.42846,2.27726,503.3335,-27.71286,0.0,0
17.6,10,52,33.265,-81.682,-2.92821,-0.341,22.94764,53.22057,122.53318,1011.26794,9.43366,2.76394,474.32932,80.85213,3.81e-11,1
12.4,38,38,33.251,-81.654,-5.69927,2.20558,17.14247,86.35553,-11.26772,1008.09277,10.63053,1.03429,39.01187,1.86008,6.63e-09,1
17.9,12,49,33.262,-81.68,-5.62812,1.36523,22.71865,52.87235,9.41915,1010.87683,9.24156,1.02969,697.35376,48.66135,6.4e-12,1
17.6,38,20,33.233,-81.654,-3.98025,2.50777,22.99583,47.87495,53.14217,1007.98206,8.53961,2.6649,423.82928,3.32381,0.0,0
17.7,7,53,33.266,-81.685,-3.61523,-0.79051,22.96146,53.91626,42.89344,1010.40283,9.57222,2.10845,583.2077,-18.77861,1.8e-11,1
15.4,30,34,33.247,-81.662,-6.26779,1.86935,19.6461,68.99279,-79.32129,1009.16345,9.95888,0.49245,210.90935,19.42755,0.0,0
15.2,20,42,33.255,-81.672,-5.35441,1.8696,19.74583,70.71348,-16.84754,1010.2124,10.26109,0.82774,235.83356,6.75266,2.9e-11,1
14.5,31,39,33.252,-81.661,-6.1975,3.6071,18.91093,74.87545,1.2912,1009.50134,10.31014,0.98163,304.27621,3.16443,4.04e-10,1
15.2,76,25,33.238,-81.616,-3.19518,0.9995,19.81429,72.22309,-2.96389,1011.15741,10.51573,1.54654,322.46313,-0.39188,0.0,0
13.8,31,40,33.253,-81.661,-5.21891,2.38137,18.5307,77.37247,-7.39391,1009.75043,10.39584,1.22577,176.15282,1.42067,1.69e-10,1
14.5,61,53,33.266,-81.631,-6.03936,2.28281,18.72916,76.41773,-46.70351,1010.34576,10.39239,2.13753,460.00162,0.83469,0.0,0
16.7,34,37,33.25,-81.658,-5.0994,0.04631,21.16669,62.99355,27.4994,1008.36523,10.01714,1.06089,283.86505,-41.15419,9.34e-11,1
14.4,52,5,33.218,-81.64,-4.72272,1.51362,19.33984,73.08655,-8.67057,1012.93744,10.30696,1.87685,299.78961,-1.16217,0.0,0
12.6,36,34,33.247,-81.656,-5.40883,2.60862,17.28074,85.23555,-23.61512,1007.94122,10.58834,1.31253,54.19609,3.22332,0.0,0
